objectid,cod_loc,localidad,estado,barriocomu,cod_polbar,shape_area,shape_len,codigo_upz,area_m2,population_x,pop_density_x,estrato_0,estrato_1,estrato_2,estrato_3,estrato_4,estrato_5,estrato_6,street_total_length,street_len_CL,street_ratio_CL,street_len_KR,street_ratio_KR,street_len_None,street_ratio_None,street_len_AK,street_ratio_AK,street_len_TV,street_ratio_TV,street_len_DG,street_ratio_DG,street_len_AC,street_ratio_AC,fence_ratio,wall_ratio,road_ratio,sidewalk_ratio,building_ratio,sky_ratio,vegetation_ratio,person_count,bicyclist_count,motorcyclist_count,other_rider_count,street_light_count,source,Matched_Barrio,Cantidad,murder_rate_per_1000
3849,15,Antonio Nariño,LEGALIZADO,restrepo,150012,3.65E-05,0.026300582,38,447762.417,4996,11157.70286,0.096281355,0,0,0.903718645,0,0,0,12695.84527,6281.566196,0.494773374,5440.017296,0.428487996,0,0,0,0,597.1255963,0.04703315,260.0685504,0.02048454,0,0,0.002660818,0.00198222,0.081988566,0.062159981,0.388952862,0.185449877,0.028262186,3.160377358,0.044025157,0.103773585,0,0.132075472,2016south,restrepo,12,2.401921537
1281,8,Kennedy,LEGALIZADO,el tintal,80113,7.70E-05,0.071363095,78,945301.2396,1713,1812.120759,0.50467964,0.109306076,0.385351133,0.00066315,0,0,0,7580.508821,1851.8901,0.244296279,2058.038418,0.271490802,0,0,1857.512206,0.245037932,0,0,24.67653807,0.003255261,958.6694558,0.126465054,0.017454146,0.001674155,0.156959117,0.034191019,0.042893107,0.446039097,0.058519922,1.145631068,0.330097087,0.13592233,0,0.077669903,2016central,el tintal,4,2.335084647
1269,8,Kennedy,SIN LEGALIZAR,villa claudia,80302,5.93E-06,0.010674266,44,72810.00629,937,12869.11027,0.231573874,0,0,0.768426126,0,0,0,2056.838724,1000.227483,0.486293588,1056.611241,0.513706412,0,0,0,0,0,0,0,0,0,0,0.106215043,0.008910435,0.08822513,0.029862739,0.243942,0.303843565,0.066441174,0.565217391,0,0,0,0.173913043,2016central,villa claudia,2,2.134471718
1432,19,Ciudad Bolívar,LEGALIZADO,san fernando,190209,8.69E-07,0.006099211,66,10667.06174,514,48185.71529,0,0,1,0,0,0,0,336.2784487,0,0,45.23554045,0.134518107,0,0,0,0,0,0,291.0429082,0.865481893,0,0,0.001888308,0.001473692,0.050531692,0.030132769,0.551985615,0.122544769,0.010744692,1.692307692,0,0.076923077,0,0,2016south,san fernando,1,1.945525292
3265,3,Santa Fe,LEGALIZADO,las aguas,30025,1.17E-05,0.022885608,92,143404.6216,2139,14915.83728,0.144258052,0,0.37753162,0.478210328,0,0,0,4904.016011,1601.903751,0.326651411,2559.381382,0.521894989,0,0,0,0,91.54922826,0.018668216,239.9553062,0.048930368,0,0,0.013538,0.065681061,0.112938348,0.047562403,0.131658884,0.195520088,0.261494856,0.856353591,0.033149171,0.060773481,0,0.08839779,2016south,las aguas,4,1.870032726
3040,14,Los Mártires,LEGALIZADO,el progreso,140005,2.27E-05,0.023431741,37,278461.5761,5348,19205.52226,0.104646781,0,0,0.895353219,0,0,0,8493.466691,3749.974703,0.441512852,3070.896346,0.361559827,0,0,243.5439137,0.028674265,364.9635054,0.042969911,3.377950497,0.000397712,850.6090464,0.100148629,0.022295667,0,0.011353917,0.02284125,0.843975083,0.03298075,0.000879583,0.333333333,0,0,0,0,2016north,el progreso,10,1.869857891
1343,19,Ciudad Bolívar,LEGALIZADO,juan pablo,190284,3.49E-06,0.009128893,67,42772.91474,1659,38786.22745,0,1,0,0,0,0,0,2064.137417,764.3852628,0.370317042,1299.752154,0.629682958,0,0,0,0,0,0,0,0,0,0,0.001593571,0.010772,0.031671,0.038410714,0.517620143,0.214321857,0.086957857,0.285714286,0,0,0,0,2016south,juan pablo,3,1.808318264
208,3,Candelaria,LEGALIZADO,centro administrativo,170002,3.40E-05,0.028158309,94,416937.9855,1107,2655.07111,0.366727337,0,0,0.633272663,0,0,0,9592.895146,3837.313707,0.400016225,5333.843605,0.556020213,0,0,0,0,184.5676795,0.019240039,0,0,0,0,0.009863172,0.021024579,0.111336847,0.043671373,0.315423234,0.239677522,0.071863866,2.641148325,0.009569378,0.04784689,0,0.162679426,2016south,centro administrativo,2,1.806684734
890,14,Los Mártires,LEGALIZADO,la favorita,140009,2.37E-05,0.02338078,102,290439.9528,3946,13586.28509,0.000212445,0,0.675077711,0.324709844,0,0,0,7844.935361,2525.144083,0.321882076,3235.317422,0.412408423,0,0,243.9851811,0.03110098,0,0,538.9141087,0.0686958,1194.60571,0.152277317,0.003501511,0.011742819,0.125316723,0.051132809,0.298035032,0.278829979,0.033462681,0.936170213,0.074468085,0.234042553,0,0.234042553,2016central,la favorita,7,1.773948302
3103,18,Rafael Uribe,SIN LEGALIZAR,s.c. sosiego sur,180149,1.21E-06,0.004593924,36,14798.5695,570,38517.23641,0,0,0,1,0,0,0,360.2895611,0,0,360.2895611,1,0,0,0,0,0,0,0,0,0,0,0,0.000518286,0.026558,0.045169,0.642196429,0.087185,0.014381143,1.714285714,0,0,0,0,2016south,s.c. sosiego sur,1,1.754385965
3559,11,,SIN LEGALIZAR,s.c suba urbano,110534,5.81E-06,0.013944909,27,71270.15552,584,8194.173224,0,0,0.000289255,0.748362517,0,0,0.251348228,1476.604772,1.598165436,0.001082324,769.6180618,0.521207893,0,0,0,0,0,0,0,0,705.3885445,0.477709783,0.041217333,0.030741542,0.142031875,0.041680667,0.099380625,0.34087025,0.029772,1,0.041666667,0,0,0,2016north,s.c suba urbano,1,1.712328767
2804,13,Teusaquillo,LEGALIZADO,las americas,130032,1.95E-05,0.022380599,101,238925.249,1760,7366.320667,0.115965936,0,0,0,0.884034064,0,0,8658.057888,1914.202251,0.221089103,761.105519,0.087907188,0,0,3258.769355,0.37638572,1171.289506,0.135283169,0,0,1146.423742,0.132411189,0.029139145,0.050648273,0.102036222,0.049774375,0.193056633,0.178484309,0.133143247,0.741818182,0.025454545,0.109090909,0,1.04,2016central,las americas,3,1.704545455
2532,14,Los Mártires,LEGALIZADO,la sabana,140012,1.48E-05,0.015656278,102,181027.9188,1194,6595.667718,0.081709893,0,0.597137848,0.321152259,0,0,0,4919.483598,1785.421205,0.362928582,2096.30852,0.426123693,0,0,0,0,0,0,0,0,1011.374428,0.205585486,0.003474563,0,0.10002775,0.056023625,0.100299875,0.347501562,0.009156313,1.875,0.125,0.5625,0,0.0625,2016central,la sabana,2,1.675041876
3043,16,Puente Aranda,LEGALIZADO,los ejidos,160040,4.56E-05,0.028045511,108,559174.3298,597,1067.645577,0.798609919,0,0,0.201390081,0,0,0,10082.00794,4253.838463,0.421923737,2929.849911,0.290601825,0,0,1081.672247,0.107287383,501.1183461,0.049704221,0,0,1295.619464,0.128508078,0.010855373,0.010721208,0.139841152,0.03478191,0.223145058,0.238812238,0.059106772,0.580524345,0.088014981,0.108614232,0.001872659,0.400749064,2016central,los ejidos,1,1.675041876
767,12,Barrios Unidos,LEGALIZADO,colombia,120005,2.30E-05,0.019171938,98,282358.3263,3200,11333.11718,0,0,0,1,0,0,0,7867.338415,2777.42694,0.353032601,3070.367283,0.3902676,0,0,669.6937504,0.085123293,0,0,129.9574443,0.016518604,1070.329926,0.136047272,0.008688832,0.002036865,0.097978494,0.053487203,0.351135886,0.236649741,0.028636287,1.160839161,0.044289044,0.149184149,0,0.368298368,2016central,colombia,5,1.5625
