Barrio,Matched_Barrio,Score,recheck,codigo_upz,Cantidad
7 DE AGOSTO E-12,siete de agosto,75,,98,1.0
ABRAHAM LINCON E-6,abraham lincon,100,,47,1.0
ACACIAS III PARTE BAJA E-19,acacias,100,,27,1.0
ACACIAS SUR E-19,acacias,100,,27,0.0
ACAPULCO E-10,acapulco,100,,27,1.0
AGUAS CLARAS E-4,aguas claras,100,,30,2.0
ALAMEDA DEL SUR E-18,alameda del sur,100,,53,1.0
ALAMEDA E-3,alameda,100,,74,2.0
ALAMOS SUR E-10,alameda,66,,74,2.0
ALCALA  E-11,alcalá,62,,41,2.0
ALCALÁ E-16,alcalá,100,,41,
ALFONSO LOPEZ E-5,alfonso lópez,80,,100,6.0
ALFONSO LÓPEZ SECTOR CHARALA E-5,alfonso lópez,100,,100,
ALMENDROS TINTALITO BOSA E-8,tintalito,100,,82,1.0
ALPES LOS E-19,los alpes,100,,67,1.0
ALQUERÍA LA FRAGUA E-8,alquería la fragua,100,,45,
ALTAMIRA CHIQUITA E-4,altamira,100,,27,1.0
ALTAMIRA E-4,altamira,100,,27,4.0
ALTOS DE JALISCO E-19,altos de jalisco,100,,67,1.0
ALTOS DEL VIRREY E-4,urb. altos del virrey,88,,50,1.0
AMAPOLA E-4,amapolas,73,,32,1.0
ANDALUCÍA E-7,andalucía,100,,46,
ANDALUCÍA E-7,andalucía,100,,9,
ANDALUCÍA E-8,andalucía,100,,46,
ANDALUCÍA E-8,andalucía,100,,9,
ANGULO E-4,el angulo,84,,34,1.0
ANTONIA SANTOS E-7,antonia santos,100,,85,3.0
ANTONIO JOSE DE SUCRE E-5,antonio josé de sucre iii,85,,58,2.0
ANTONIO JOSÉ DE SUCRE III SECTOR E-5,antonio josé de sucre iii,100,,58,
ARABIA E-19,arabia,100,,68,3.0
ARAUQUITA E-1,arauquita,100,,11,1.0
ARBOLEDA SUR E-18,arboleda sur,100,,54,2.0
ARBORIZADORA ALTA E-19,arborizadora alta,100,,70,7.0
ARBORIZADORA BAJA E-19,arborizadora baja,100,,65,4.0
ARGELIA E-7,argelia,100,,45,1.0
ARGELIA E-8,argelia,100,,45,1.0
ATAHUALPA E-9,atahualpa,100,,75,2.0
ATENAS E-4,atenas,100,,34,1.0
AURES I-II E-11,aures i,100,,28,1.0
AURES II E-11,aures ii,100,,28,2.0
BARCELONA E-4,barcelona,100,,43,1.0
BARRANCAS E-1,barrancas,100,,11,2.0
BELLA FLOR E-19,bella flor,100,,67,1.0
