barrio,upz,graffiti_count,garbage_count,graffiti_exist,garbage_exist,file_count,garbage_exist_percentage,graffiti_exist_percentage
La Carolina,54,8,0,6,0,8,0,0.75
La Castaña,32,6,0,3,0,5,0,0.6
La Catedral,94,446,0,87,0,105,0,0.828571429
La Colmena,50,22,0,12,0,23,0,0.52173913
La Coruña,65,104,0,45,0,80,0,0.5625
La Estación,85,27,0,11,0,14,0,0.785714286
La Estanzuela_,102,1113,0,374,0,556,0,0.672661871
La Favorita,102,432,0,110,0,125,0,0.88
La Florida Alto de Pijaos,36,7,0,5,0,23,0,0.217391304
La Fragua,37,39,0,16,0,23,0,0.695652174
La Fragua - Urb. Ciudad de Quito,38,189,0,55,0,64,0,0.859375
La Fragua - Urb. Sargento Paez Pabon,38,26,0,10,0,17,0,0.588235294
La Fraguita,38,255,0,110,0,184,0,0.597826087
La Gloria,50,95,0,41,0,96,0,0.427083333
La Gloria Baja,50,32,0,9,0,23,0,0.391304348
La Grovana,50,8,0,5,0,20,0,0.25
La Guaca,41,41,0,26,0,96,0,0.270833333
La Guaca IV Sector,40,12,0,8,0,19,0,0.421052632
La Nueva Gloria,51,119,0,59,0,176,0,0.335227273
La Nueva Gloria II Sector,51,1,0,1,0,15,0,0.066666667
La Paz Central,92,9,0,5,0,17,0,0.294117647
La Pepita,102,620,0,177,0,221,0,0.800904977
La Peña,96,1,0,1,0,24,0,0.041666667
La Playa II,67,5,0,4,0,8,0,0.5
La Ponderosa,40,15,0,7,0,14,0,0.5
La Sabana,102,262,0,103,0,189,0,0.544973545
La Sagrada Familia,32,10,0,7,0,40,0,0.175
La Sierra,51,9,0,5,0,21,0,0.238095238
La Victoria,50,18,0,3,0,3,0,1
La_Alameda,67,12,0,6,0,16,0,0.375
La_Concordia,94,55,0,14,0,50,0,0.28
La_Fragua,38,184,0,81,0,138,0,0.586956522
Laguneta,42,25,0,6,0,13,0,0.461538462
Las Aguas,92,139,0,55,0,153,0,0.359477124
Las Aguas_,94,128,0,42,0,110,0,0.381818182
Las Carabelas,40,384,0,214,0,560,0,0.382142857
Las Cruces,95,466,0,156,0,226,0,0.690265487
Las Delicias del_Sur,67,49,0,28,0,57,0,0.49122807
Las Delicias_,45,30,0,11,0,24,0,0.458333333
Las Guacamayas,50,207,0,89,0,236,0,0.377118644
Las Lomas,53,77,0,29,0,62,0,0.467741935
Las Nieves,93,1052,0,212,0,331,0,0.640483384
Las Torres,45,43,0,16,0,28,0,0.571428571
Las Violetas La Asunción,40,43,0,12,0,34,0,0.352941176
Laureles La Estación,85,0,0,0,0,1,0,0
Los Altos del Zuque,50,6,0,5,0,46,0,0.108695652
Los Chircales,54,68,0,28,0,42,0,0.666666667
Los Laches,96,64,0,30,0,84,0,0.357142857
Los Libertadores,51,92,0,27,0,62,0,0.435483871
Los Libertadores Sector El Tesoro,51,1,0,1,0,5,0,0.2
Los Libertadores Sector La Colina,51,5,0,1,0,4,0,0.25
Los Libertadores Sector San Ignacio,51,45,0,10,0,15,0,0.666666667
Los Libertadores Sector San Isidro,51,27,0,6,0,8,0,0.75
Los Libertadores Sector San José,51,5,0,3,0,4,0,0.75
Los Molinos I Sector,54,68,0,22,0,25,0,0.88
Los Pijaos,36,35,0,22,0,32,0,0.6875
Los Puentes,50,0,0,0,0,4,0,0
Los_Ángeles,41,79,0,38,0,72,0,0.527777778
Lourdes,96,23,0,16,0,43,0,0.372093023
Lourdes II,94,69,0,37,0,90,0,0.411111111
Lucero Bajo,67,39,0,7,0,8,0,0.875
Lucero Medio,67,15,0,8,0,29,0,0.275862069
Lucero Sur Bajo,67,74,0,20,0,27,0,0.740740741
Luna Park,38,2,0,2,0,6,0,0.333333333
Managua,34,28,0,12,0,26,0,0.461538462
Marichuela,57,11,0,8,0,15,0,0.533333333
Marruecos,54,29,0,15,0,36,0,0.416666667
Marruecos II Sector,54,44,0,21,0,27,0,0.777777778
Meissen,67,38,0,15,0,47,0,0.319148936
Milenta,43,19,0,6,0,7,0,0.857142857
Milenta II Sector,44,10,0,4,0,9,0,0.444444444
Milenta_,45,10,0,6,0,10,0,0.6
Morabia II,48,0,0,0,0,2,0,0
Moralva,50,47,0,21,0,57,0,0.368421053
Muzu,42,5,0,3,0,5,0,0.6
Muzu_,42,8,0,5,0,38,0,0.131578947
México,67,45,0,17,0,27,0,0.62962963
México III Sector,67,7,0,4,0,9,0,0.444444444
Nariño Sur,33,75,0,38,0,89,0,0.426966292
Nicolás Escobar,85,20,0,8,0,14,0,0.571428571
Nueva Santa Fe de Bogotá,94,32,0,13,0,31,0,0.419354839
Nueva York,45,39,0,13,0,19,0,0.684210526
Nueva York II,45,85,0,34,0,59,0,0.576271186
Nuevo Muzu II Sector 1 A Etapa,42,44,0,22,0,38,0,0.578947368
Olarte,49,19,0,8,0,9,0,0.888888889
Ospina Pérez,41,134,0,62,0,144,0,0.430555556
Ospina Pérez Sur,41,31,0,9,0,28,0,0.321428571
Paloquemao,102,14,0,4,0,5,0,0.8
Panorama (Antes Altamira),50,30,0,13,0,34,0,0.382352941
Parque El Tunal,42,156,0,58,0,144,0,0.402777778
Pensilvania,108,40,0,22,0,91,0,0.241758242
Playón La Playita,54,30,0,9,0,18,0,0.5
Policarpa Salavarrieta,35,165,0,58,0,66,0,0.878787879
Primero de Mayo,33,162,0,51,0,68,0,0.75
Protecho Bogota II,65,231,0,82,0,155,0,0.529032258
Puente Colorado,50,47,0,16,0,59,0,0.271186441
Puerta al Llano,59,7,0,6,0,10,0,0.6
Puerta al_Llano,66,21,0,6,0,8,0,0.75
Quinta Ramos,33,34,0,12,0,18,0,0.666666667
Quiroga IX Etapa,39,77,0,37,0,120,0,0.308333333
Remanso,40,55,0,20,0,35,0,0.571428571
Remanso Sur,40,49,0,23,0,59,0,0.389830508
Republica del Canadá El Pinar,51,7,0,4,0,11,0,0.363636364
Restrepo,38,1245,0,292,0,334,0,0.874251497
Restrepo - Urb. Alfonso López Pumarejo,38,80,0,16,0,20,0,0.8
Restrepo Occidental,38,1206,0,465,0,679,0,0.684830633
Ricaurte,102,342,0,139,0,496,0,0.280241935
Rincón de San Andrés,45,18,0,10,0,16,0,0.625
Rincón de Venecia,42,7,0,5,0,5,0,1
Rocío Centro Oriental,96,13,0,8,0,16,0,0.5
Rocío Oriental,96,7,0,5,0,28,0,0.178571429
Rocío Parte Baja,96,0,0,0,0,2,0,0
Río de Janeiro El Pesebre,53,94,0,38,0,90,0,0.422222222
S C. Parque Nacional Oriental,94,16,0,12,0,95,0,0.126315789
S.C Gualoche,85,14,0,5,0,7,0,0.714285714
S.C La Alameda,67,11,0,3,0,3,0,1
S.C Meissen,62,8,0,4,0,12,0,0.333333333
S.C. 20 De Julio,34,398,0,102,0,120,0,0.85
S.C. Altamira,50,125,0,53,0,134,0,0.395522388
S.C. Arborizadora Baja,65,2,0,2,0,11,0,0.181818182
S.C. Bellavista Sur,50,8,0,5,0,19,0,0.263157895
S.C. Bosa,85,3,0,1,0,2,0,0.5
S.C. Bravo Paez,39,7,0,5,0,128,0,0.0390625
S.C. Calvo Sur,33,12,0,3,0,5,0,0.6
S.C. Centenario,39,292,0,97,0,153,0,0.633986928
S.C. Central de Mezclas,63,11,0,9,0,18,0,0.5
S.C. Claret,39,485,0,173,0,359,0,0.48189415
S.C. Egipto,94,22,0,12,0,72,0,0.166666667
S.C. El Pinar,51,11,0,5,0,12,0,0.416666667
S.C. El Triángulo,32,1,0,1,0,5,0,0.2
S.C. Granada Sur,34,83,0,20,0,21,0,0.952380952
S.C. Granjas de San Pablo,53,14,0,7,0,25,0,0.28
S.C. Ingles,39,185,0,75,0,115,0,0.652173913
S.C. La Alameda,67,4,0,3,0,10,0,0.3
S.C. La Gloria Oriental,50,46,0,14,0,25,0,0.56
S.C. La Hortua,35,85,0,29,0,52,0,0.557692308
S.C. La Maria,33,9,0,6,0,12,0,0.5
S.C. La Orquídea,59,4,0,3,0,5,0,0.6
S.C. La Victoria,50,397,0,87,0,140,0,0.621428571
