objectid,cod_loc,localidad,estado,barriocomu,cod_polbar,shape_area,shape_len,codigo_upz,area_m2,population_x,pop_density_x,estrato_0,estrato_1,estrato_2,estrato_3,estrato_4,estrato_5,estrato_6,street_total_length,street_len_CL,street_ratio_CL,street_len_KR,street_ratio_KR,street_len_None,street_ratio_None,street_len_AK,street_ratio_AK,street_len_TV,street_ratio_TV,street_len_DG,street_ratio_DG,street_len_AC,street_ratio_AC,barrio,longitude,latitude,upz_code,fence_ratio,wall_ratio,road_ratio,sidewalk_ratio,building_ratio,sky_ratio,vegetation_ratio,person_count,bicyclist_count,motorcyclist_count,other_rider_count,street_light_count,population_y,pop_density_y,murder_rate,source,Matched_Barrio,Cantidad,murder_rate_per_1000
3850,15,Antonio Nariño,SIN LEGALIZAR,ciudad jardín del sur,150004,5.19E-05,0.031232539,35,637457.3732,10811,16959.56538,0.045079871,0,0,0.954920129,0,0,0,21159.00366,9367.38193,0.442713753,10097.88455,0.477238187,0,0,0,0,452.6783012,0.021394122,91.40533494,0.004319926,0,0,Ciudad Jardín del Sur,-74.09780764,4.581380898,35,0.029633,0.005774595,0.125035753,0.040072555,0.206355542,0.26624065,0.129104167,1.46835443,0.016877637,0.061181435,0,0.339662447,10811,16959.56538,0.000277495,2016south,ciudad jardín del sur,3,0.277495144
3356,6,Tunjuelito,LEGALIZADO,san benito,60022,4.51E-05,0.028521856,62,553078.971,8153,14741.11371,0.037365711,0,0.962634289,0,0,0,0,13840.55666,5212.635346,0.376620354,7653.157156,0.552951543,0,0,0,0,0,0,0,0,41.99789825,0.003034408,San Benito,-74.13510575,4.564272773,62,0.009585889,0.030068959,0.074390872,0.040869101,0.370302524,0.207505074,0.035776764,0.692567568,0.070945946,0.054054054,0,0.114864865,8153,14741.11371,0.000367963,2016south,san benito,3,0.367962713
537,10,Engativá,LEGALIZADO,las ferias,100115,4.27E-05,0.033418306,26,523500.9779,7634,14582.58976,0.216055398,0,0,0.783944602,0,0,0,12063.50166,3548.955467,0.294189495,4818.592162,0.399435611,0,0,1126.530933,0.093383411,207.4734775,0.017198446,0,0,2361.949624,0.195793037,Las Ferias,-74.08381496,4.682705378,26,0.038984573,0.004092018,0.095921639,0.038534551,0.271765693,0.263213686,0.064015489,0.49270073,0.032846715,0.091240876,0,0.667883212,7634,14582.58976,0.000130993,2016north,las ferias,3,0.392978779
3498,18,Rafael Uribe,SIN LEGALIZAR,s.c. olaya,180138,2.86E-05,0.022355378,39,350815.7575,4723,13462.90723,0.251884527,0,0,0.748115473,0,0,0,8365.53757,3081.794118,0.368391642,5212.042248,0.623037337,0,0,0,0,4.337188346,0.000518459,0,0,0,0,S.C. Olaya,-74.10634061,4.581607676,39,0.005447199,0.012730018,0.115680376,0.046397982,0.235229787,0.281456729,0.059084362,2.298642534,0.081447964,0.085972851,0,0.34841629,4723,13462.90723,0.000635189,2016south,s.c. olaya,3,0.635189498
1175,8,Kennedy,LEGALIZADO,castilla,80047,2.68E-05,0.021413238,46,328680.6874,4301,13085.64867,0.210569988,0,0,0.789430012,0,0,0,10031.52652,5411.293042,0.539428674,2814.070526,0.280522662,0,0,615.2036847,0.061327026,0,0,9.500565986,0.000947071,1181.458696,0.117774567,Castilla,-74.14349115,4.639868937,46,0.015648621,0.0016318,0.113365121,0.041441732,0.198303605,0.336808032,0.070226079,1.2,0.073684211,0.1,0,0.152631579,4301,13085.64867,0.000232504,2016central,castilla,3,0.697512206
119,3,Santa Fe,LEGALIZADO,la capuchina,30019,2.40E-05,0.020969697,93,293890.3966,2303,7836.254694,0.191696667,0,0,0.808303333,0,0,0,9130.527183,3768.049358,0.412686944,5316.553941,0.582283348,0,0,0,0,0,0,0,0,24.10656099,0.002640216,La Capuchina,-74.07693689,4.604843101,93,0.022374469,0.004277862,0.113460714,0.038150411,0.386707942,0.142400643,0.02674133,3.629464286,0.013392857,0.111607143,0,0.142857143,2303,7836.254694,0.001302649,2016south,la capuchina,3,1.302648719
2804,13,Teusaquillo,LEGALIZADO,las americas,130032,1.95E-05,0.022380599,101,238925.249,1760,7366.320667,0.115965936,0,0,0,0.884034064,0,0,8658.057888,1914.202251,0.221089103,761.105519,0.087907188,0,0,3258.769355,0.37638572,1171.289506,0.135283169,0,0,1146.423742,0.132411189,Las Americas,-74.07838921,4.626976924,101,0.029139145,0.050648273,0.102036222,0.049774375,0.193056633,0.178484309,0.133143247,0.741818182,0.025454545,0.109090909,0,1.04,1760,7366.320667,0.001704545,2016central,las americas,3,1.704545455
1161,8,Kennedy,LEGALIZADO,ciudad kennedy norte,80059,1.21E-05,0.017015181,47,148800.118,87,584.6769556,0.989133452,0,0,0.010866548,0,0,0,1978.051276,1095.79102,0.553975032,751.8786826,0.380110815,0,0,126.802295,0.064104655,0,0,0,0,0,0,Ciudad Kennedy Norte,-74.15381792,4.623861348,47,0.021434824,0.002426265,0.112923941,0.0335675,0.273571618,0.174771029,0.103577412,3.147058824,0,0.088235294,0.058823529,0.941176471,87,584.6769556,0.034482759,2016central,ciudad kennedy norte,3,34.48275862
227,8,Kennedy,SIN LEGALIZAR,s.c. el tintal ii,90104,2.34E-05,0.033630417,77,287253.547,61,212.3559505,0.604451138,0,0.000268266,0.395280597,0,0,0,1727.64185,0,0,345.8530309,0.200187921,0,0,610.1995916,0.353197968,0,0,26.81419035,0.015520688,669.8107678,0.387702328,S.C. El Tintal II,-74.13860433,4.661655916,77,0.0171029,0.002973283,0.15362525,0.024891717,0.0490939,0.349475383,0.04464175,0.6,0.1,0.516666667,0,0.066666667,61,212.3559505,0.049180328,2016central,s.c. el tintal ii,3,49.18032787
3549,11,,LEGALIZADO,el carmen,110152,1.01E-05,0.017749881,28,124292.4022,5871,47235.38927,0,0,1,0,0,0,0,3633.31024,1548.698414,0.426249979,1764.516788,0.485649909,0,0,0,0,285.3540648,0.078538315,0,0,0,0,El Carmen,-74.09484406,4.72545272,28,0.013485239,0.000336543,0.052128848,0.074547326,0.56969563,0.109517065,0.000290065,1.956521739,0.108695652,0,0,0.02173913,5871,47235.38927,0.000170329,2016north,el carmen,2,0.340657469
3558,11,,LEGALIZADO,aures ii,110033,2.54E-05,0.027000246,28,311177.4162,13778,44276.99211,0.166640838,0,0.833359162,0,0,0,0,10656.10784,5231.463731,0.490935697,4401.228928,0.413024061,0,0,698.808848,0.065578245,0,0,0,0,127.0100988,0.011918995,Aures II,-74.10245935,4.734437757,28,0.001165667,0,0.275518,0.037325333,0.210579167,0.232076,0.009475,2.666666667,0,0.166666667,0,0.333333333,13778,44276.99211,0.000145159,2016north,aures ii,2,0.145158949
481,5,Usme,LEGALIZADO,marichuela,50146,2.35E-05,0.02642595,57,288300.8813,12012,41664.805,0.123362079,0,0.876637921,0,0,0,0,9293.549845,4068.816571,0.437810808,4358.470646,0.468978024,0,0,0,0,0,0,863.7874132,0.09294483,0,0,Marichuela,-74.11857015,4.510267296,57,0,0.003729167,0.071701833,0.002867,0.047307083,0.3372845,0.057389,0.166666667,0.333333333,0.083333333,0,0.333333333,12012,41664.805,0.0001665,2016south,marichuela,2,0.166500167
728,4,San Cristóbal,LEGALIZADO,bello horizonte,40016,2.43E-05,0.025880674,34,297978.7519,11890,39902.17397,0.006276098,0,0.993723902,0,0,0,0,9848.865174,6375.506359,0.647334109,3407.832679,0.346012725,0,0,0,0,0,0,65.3507717,0.006635361,0,0,Bello Horizonte,-74.09595678,4.562858323,34,0.037790111,0.011056611,0.098889444,0.079452389,0.255615056,0.295477667,0.01585,1.222222222,0,0.111111111,0,0.111111111,11890,39902.17397,0.000168209,2016south,bello horizonte,2,0.168208579
2660,6,Tunjuelito,SIN LEGALIZAR,san vicente ferrer,60024,3.59E-05,0.024837507,42,440804.3489,17438,39559.50081,0.01732372,0,0.98267628,0,0,0,0,13694.44735,8575.30665,0.626188588,4677.172812,0.341537902,0,0,0,0,0,0,413.8369031,0.030219321,0,0,San Vicente Ferrer,-74.13940872,4.58115531,42,0.002407036,0.001599818,0.073642304,0.038171941,0.490900953,0.126878417,0.007989085,0.875494071,0.019762846,0.015810277,0,0.731225296,17438,39559.50081,0.000114692,2016south,san vicente ferrer,2,0.114692052
323,11,,LEGALIZADO,nuevo corinto,110406,1.98E-05,0.022033548,28,242460.0778,8746,36071.91782,0.088634711,0,0.836675915,0.074689374,0,0,0,7873.741907,4488.189089,0.570019838,2133.760957,0.270997066,0,0,900.6514611,0.114386714,70.21915462,0.008918143,0,0,0,0,Nuevo Corinto,-74.10059348,4.728703902,28,0.010747767,0.002236589,0.154052521,0.049268562,0.164963123,0.266165658,0.171225164,0.794520548,0.04109589,0.178082192,0,0.082191781,8746,36071.91782,0.000228676,2016north,nuevo corinto,2,0.228675966
1106,8,Kennedy,LEGALIZADO,nueva york,80206,3.06E-06,0.008764919,45,37529.8806,1353,36051.27376,0,0,0,1,0,0,0,1287.152322,721.558411,0.560585098,219.8750042,0.170822831,0,0,345.7189067,0.26859207,0,0,0,0,0,0,Nueva York,-74.14265944,4.606010167,45,0.008697278,0.000371944,0.156511722,0.023054278,0.103199,0.1998655,0.0553235,1.666666667,1.111111111,0.111111111,0,0.166666667,1353,36051.27376,0.001478197,2016south,nueva york,2,1.4781966
1785,7,Bosa,LEGALIZADO,olarte,70220,3.77E-05,0.033735165,49,462155.6651,15771,34124.86569,0.416487094,0,0.583512906,0,0,0,0,15036.34133,7112.921962,0.473048716,4809.943124,0.319887865,0,0,29.42292135,0.001956787,266.1875836,0.017702949,0,0,1371.098236,0.091185629,Olarte,-74.16699628,4.596293244,49,0.019821444,0.003459444,0.323869444,0.040855556,0.019092556,0.097767222,0.158081667,2.333333333,0.333333333,0,0,0.222222222,15771,34124.86569,0.000126815,2016south,olarte,2,0.12681504
2293,11,,LEGALIZADO,villa elisa,110800,8.18E-06,0.029676719,28,100353.7728,3329,33172.64421,0,0,0.109222352,0.890777648,0,0,0,2881.985248,1602.257552,0.555956195,1201.037089,0.416739499,0,0,0,0,0,0,0,0,78.69060709,0.027304306,Villa Elisa,-74.08662938,4.733750478,28,0.015825838,0.010432149,0.075993,0.074175365,0.423484986,0.158510405,0.034284338,2.108108108,0,0.081081081,0,0.094594595,3329,33172.64421,0.000600781,2016north,villa elisa,2,0.600781015
308,4,San Cristóbal,LEGALIZADO,san vicente,40189,7.33E-06,0.012117617,32,89997.59292,2933,32589.76051,0.026448635,0,0.973551365,0,0,0,0,2734.447468,1169.842299,0.427816702,1339.942011,0.490022948,0,0,0,0,2.539572301,0.000928733,212.9561882,0.077879056,0,0,San Vicente,-74.08680492,4.55185179,32,0.014032615,0.014390231,0.106444385,0.010183,0.259694,0.209612538,0.067530923,0.846153846,0,0.076923077,0,0.923076923,2933,32589.76051,0.000681896,2016south,san vicente,2,0.68189567
3416,16,Puente Aranda,LEGALIZADO,alcalá,160001,2.44E-05,0.020226735,41,299862.9694,9579,31944.59129,0.051658609,0,0,0.948341391,0,0,0,8168.462292,4920.258127,0.602348147,2810.49693,0.34406683,0,0,0,0,0,0,0,0,347.9424507,0.042595832,Alcalá,-74.12650507,4.603020098,41,0.00721967,0.004759177,0.064560884,0.095400969,0.494759138,0.154905914,0.02486678,0.987767584,0.03058104,0.027522936,0,0.088685015,9579,31944.59129,,2016south,alcalá,2,0.208790062
3634,3,Santa Fe,LEGALIZADO,lourdes,30029,7.65E-06,0.013848839,96,93908.08763,2991,31850.29187,0.104176866,0,0.895823134,0,0,0,0,2775.864117,748.7492426,0.269735553,1483.412421,0.534396627,0,0,0,0,0,0,405.6484242,0.146134107,0,0,Lourdes,-74.07138443,4.587665169,96,0.005694306,0.008722972,0.050371778,0.04799025,0.335851278,0.200365389,0.019807167,0.583333333,0,0.083333333,0,0.194444444,2991,31850.29187,0.000334336,2016south,lourdes,2,0.668672685
