objectid,cod_loc,localidad,estado,barriocomu,cod_polbar,shape_area,shape_len,codigo_upz,area_m2,population_x,pop_density_x,estrato_0,estrato_1,estrato_2,estrato_3,estrato_4,estrato_5,estrato_6,street_total_length,street_len_CL,street_ratio_CL,street_len_KR,street_ratio_KR,street_len_None,street_ratio_None,street_len_AK,street_ratio_AK,street_len_TV,street_ratio_TV,street_len_DG,street_ratio_DG,street_len_AC,street_ratio_AC,barrio,longitude,latitude,upz_code,fence_ratio,wall_ratio,road_ratio,sidewalk_ratio,building_ratio,sky_ratio,vegetation_ratio,person_count,bicyclist_count,motorcyclist_count,other_rider_count,street_light_count,population_y,pop_density_y,murder_rate,source,Matched_Barrio,Cantidad
1010,11,,SIN LEGALIZAR,santa helena niza suba,110605,3.18E-07,0.002413267,24,3896.023819,6,1540.031652,0,0,0,0,0,0,1,62.01211908,0,0,62.01211908,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
1031,8,Kennedy,LEGALIZADO,villa mendoza,80320,1.32E-05,0.016524412,83,161709.7804,3026,18712.53546,0.627059246,0,0.372940754,0,0,0,0,3933.427128,117.1178826,0.029775023,382.4381197,0.097227712,0,0,1786.017857,0.454061509,0,0,0,0,192.5097525,0.04894199,,,,,,,,,,,,,,,,,,,,,,0
1059,8,Kennedy,LEGALIZADO,monterrey_,80194,3.91E-06,0.010283743,46,47988.85408,1951,40655.27376,0.160854652,0,0.751338025,0.087807323,0,0,0,1704.721452,1186.356406,0.695923903,405.8948996,0.238100423,0,0,0,0,112.4701467,0.065975674,0,0,0,0,Monterrey_,-74.1488209,4.644417735,46,0,0,0.06002275,0.05197355,0.6260273,0.070603,0,0.8,0,0,0,0.1,1951,40655.27376,0,2016central,,0
1110,8,Kennedy,SIN LEGALIZAR,la alejandra,80146,5.31E-06,0.009765898,48,65158.23667,3518,53991.63912,0,0,0,1,0,0,0,969.5788326,392.7290717,0.405051202,545.4629073,0.562577161,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
1159,8,Kennedy,SIN LEGALIZAR,bosques de kennedy,80034,2.93E-06,0.00959949,47,35902.56073,1814,50525.64394,0,0,0,1,0,0,0,644.643914,144.2655153,0.223791014,358.659238,0.556367989,0,0,0,0,74.87935496,0.11615615,0,0,0,0,Bosques de Kennedy,-74.15591844,4.621262728,47,0.035024589,0.009114219,0.119105877,0.031098219,0.197323767,0.156935726,0.229240699,1.465753425,0.01369863,0.02739726,0,0.452054795,1814,50525.64394,0,2016central,,0
1229,8,Kennedy,LEGALIZADO,la igualdad ii sector,80152,1.40E-06,0.008482022,44,17211.41235,852,49502.0387,0,0,0,0,1,0,0,501.7040931,0,0,0,0,0,0,71.79935933,0.14311097,429.9047337,0.85688903,0,0,0,0,La Igualdad II Sector,-74.12551948,4.621015669,44,0.0244672,0,0.061469,0.0398274,0.0909624,0.4170522,0.0952366,1.2,0,0.4,0,0.2,852,49502.0387,0,2016central,,0
1322,19,Ciudad Bolívar,SIN LEGALIZAR,s.c. arborizadora alta,190157,3.69E-05,0.031161811,70,453420.0711,15,33.08190563,1,0,0,0,0,0,0,378.7341549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
626,10,Engativá,LEGALIZADO,san juan,100190,5.45E-07,0.003001753,116,6687.313756,15,2243.053122,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,San Juan,-74.11664426,4.680370909,116,0,0,0.0878385,0.01016,0.7886995,0,0,0,0,0,0,2,15,2243.053122,0,2016north,,0
648,1,Usaquén,SIN LEGALIZAR,torres del country,10243,4.22E-07,0.00281836,15,5174.608667,216,41742.28698,0.030173428,0,0,0,0,0.969826572,0,47.46475138,0,0,0,0,0,0,47.46475138,1,0,0,0,0,0,0,Torres del Country,-74.04756338,4.714174107,15,0.00127675,0.004995,0.085244125,0.1165565,0.213731625,0.128068875,0.325842,0.25,0.375,0.125,0,1.125,216,41742.28698,0,2016north,,0
661,18,Rafael Uribe,LEGALIZADO,el_triunfo_,180045,1.72E-06,0.007377719,53,21080.79231,737,34960.73531,0.117909088,0,0.882090912,0,0,0,0,1193.959178,635.9108747,0.532606882,550.8364093,0.4613528,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
730,4,San Cristóbal,LEGALIZADO,villa begonia,40252,7.44E-07,0.003734622,51,9134.328023,240,26274.51077,0.019885215,0,0.980114785,0,0,0,0,301.6178286,9.136224065,0.03029073,0,0,0,0,0,0,117.4970434,0.389556028,169.8843441,0.563243708,0,0,,,,,,,,,,,,,,,,,,,,,,0
792,1,Usaquén,LEGALIZADO,el refugio de san antonio,10083,1.44E-06,0.00497756,9,17704.85351,1025,57893.72951,0.068439905,0,0,0.931560095,0,0,0,653.7002515,393.3934666,0.601794883,260.306785,0.398205117,0,0,0,0,0,0,0,0,0,0,El Refugio de San Antonio,-74.03689517,4.761809396,9,0,0,0.147045667,0.060186667,0.520291333,0.112483333,0.002989333,0,0,0,0,0,1025,57893.72951,0,2016north,,0
