objectid,cod_loc,localidad,estado,barriocomu,cod_polbar,shape_area,shape_len,codigo_upz,area_m2,population_x,pop_density_x,estrato_0,estrato_1,estrato_2,estrato_3,estrato_4,estrato_5,estrato_6,street_total_length,street_len_CL,street_ratio_CL,street_len_KR,street_ratio_KR,street_len_None,street_ratio_None,street_len_AK,street_ratio_AK,street_len_TV,street_ratio_TV,street_len_DG,street_ratio_DG,street_len_AC,street_ratio_AC,barrio,longitude,latitude,upz_code,Cantidad,fence_ratio,wall_ratio,road_ratio,sidewalk_ratio,building_ratio,sky_ratio,vegetation_ratio,person_count,bicyclist_count,motorcyclist_count,other_rider_count,street_light_count,population_y,pop_density_y,murder_rate,source
717,4,San Cristóbal,LEGALIZADO,Urb. Serafina,40243,1.29869e-05,0.0152560507,34,159363.00592405198,3714.0,23305.28329623746,0.208124575316425,0.0,0.0,0.791875424683575,0.0,0.0,0.0,4542.003557299791,2041.1643972203465,0.4493973576792646,2143.1587316031837,0.47185316007926814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Urb. Serafina,-74.0974626651541,4.567872377683244,34.0,0.0,0.0209381456310679,0.0105909611650485,0.0905721165048543,0.082204,0.3357266699029126,0.2471971165048543,0.0478076990291262,1.805825242718447,0.0097087378640776,0.0776699029126213,0.0,0.0776699029126213,3714.0,23305.28329623746,0.0,2016south
851,1,Usaquén,LEGALIZADO,San Cristóbal Norte,10188,4.5634e-06,0.0106047041,11,55983.93771136143,1023.0,18273.09835321554,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1631.5601053010573,357.99498080397757,0.21941881248556266,680.838833558397,0.4172931363952221,0.0,0.0,116.54442666287484,0.07143127996585202,0.0,0.0,0.0,0.0,447.8905262990174,0.2745167185957713,San Cristóbal Norte,-74.02551660730187,4.736839953507805,11.0,,0.0183801954022988,0.0167784942528735,0.0841724827586206,0.0523856436781609,0.2212928620689655,0.2449473793103448,0.0647027471264367,1.632183908045977,0.0229885057471264,0.0229885057471264,0.0114942528735632,0.1034482758620689,1023.0,18273.09835321554,,2016north
526,11,,SIN LEGALIZAR,La Estrella II,110285,4.9611e-06,0.0115824835,71,60863.262968407944,3450.0,56684.44036250206,0.24333609508497508,0.0,0.7566639049150249,0.0,0.0,0.0,0.0,1050.3233475984816,549.0028247508087,0.522698867930604,162.4286673489235,0.15464634554712084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
559,11,,SIN LEGALIZAR,Alameda de Suba,110004,5.488e-07,0.0031751578,27,6732.780117964379,207.0,30745.100296337223,0.0,0.0,0.0,0.0,1.0,0.0,0.0,116.12424524960323,113.01324070827118,0.973209689891675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
569,4,San Cristóbal,LEGALIZADO,San José Sur Oriental,40183,2.421e-07,0.0024565033,50,2971.2345381053806,130.0,43752.8570473925,0.24216071088359561,0.0,0.7578392891164044,0.0,0.0,0.0,0.0,56.906690071262204,56.906690071262204,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
618,4,San Cristóbal,LEGALIZADO,La Gloria Baja,40075,3.1287e-06,0.0080602939,50,38393.65849244145,1206.0,31411.437392386688,0.00012397849755454602,0.0,0.9998760215024454,0.0,0.0,0.0,0.0,1305.454437684886,938.7785115062541,0.7191200890711277,304.2220311209053,0.23303917956755163,0.0,0.0,0.0,0.0,24.66677402558401,0.018895162721518238,37.78712103214262,0.028945568639802483,0.0,0.0,La Gloria Baja,-74.09385784865614,4.5490040855664216,50.0,0.0,0.0147647142857142,0.0,0.0312905714285714,0.0322174285714285,0.3479104285714286,0.1005962142857142,0.0001146428571428,0.5,0.0714285714285714,0.0,0.0,0.5714285714285714,1206.0,31411.437392386688,0.0,2016south
731,4,San Cristóbal,LEGALIZADO,Los Libertadores Sector San Isidro,40108,1.0109e-06,0.0048682135,51,12405.907995697271,334.0,26922.656537178973,0.0,0.0,1.0,0.0,0.0,0.0,0.0,452.01934405439005,101.45270543264805,0.2244432827203089,0.0,0.0,0.0,0.0,0.0,0.0,304.38325496279293,0.6733854622959841,46.18338365894908,0.10217125498370704,0.0,0.0,Los Libertadores Sector San Isidro,-74.087903347978,4.5328127238125,51.0,0.0,0.02565425,0.0330005,0.074802375,0.06360175,0.399774,0.294636375,0.004839125,1.375,0.0,0.0,0.0,0.125,334.0,26922.656537178973,0.0,2016south
1397,19,Ciudad Bolívar,LEGALIZADO,Mirador de la Primavera,190134,1.9009e-06,0.0057163337,69,23324.76385838992,1317.0,56463.594143795584,0.0017611259361825316,0.752880582068215,0.24535829199560258,0.0,0.0,0.0,0.0,1234.2680155612748,177.51024061426946,0.14381822940907038,52.9368562707115,0.0428892717005543,0.0,0.0,0.0,0.0,462.344154360586,0.3745897556539519,470.1380460151752,0.3809043417538315,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
3043,16,Puente Aranda,LEGALIZADO,Los Ejidos,160040,4.55717e-05,0.0280455114,108,559174.3298140285,597.0,1067.6455770037792,0.7986099193324115,0.0,0.0,0.20139008066758823,0.0,0.0,0.0,10082.00793922338,4253.838463126089,0.4219237366970139,2929.849910679556,0.2906018253845219,0.0,0.0,1081.6722474893063,0.10728738303023275,501.1183461254542,0.04970422054280345,0.0,0.0,1295.619463832984,0.12850807811730267,Los Ejidos,-74.10186004840877,4.616759292112672,108.0,1.0,0.010855372659176,0.0107212078651685,0.1398411516853932,0.0347819101123595,0.2231450580524344,0.2388122378277153,0.0591067715355805,0.5805243445692884,0.0880149812734082,0.1086142322097378,0.0018726591760299,0.4007490636704119,597.0,1067.6455770037792,0.0016750418760469,2016central
3190,5,Usme,LEGALIZADO,San Juan II,50240,3.097e-07,0.0030415159,57,3800.921673040457,21.0,5524.97573126824,0.0,0.0,1.0,0.0,0.0,0.0,0.0,124.14797748481135,36.04242424930659,0.29031825551661633,81.86682876381971,0.6594294198134283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
