Barrio,Matched_Barrio,UPZ_codigo
LA PAZ E-7,La Paz,98
LA PEPITA E-14,La Pepita,102
LA PERSEVERANCIA E-3,La Perseverancia,92
LA PLAYA E-19,La Playa,54
LA RESURRECCIÓN II E-18,La Resurrección II,53
LA RIVERA E-8,La Rivera,82
LA RIVIERA E-10,La Riviera,74
LA SABANA E-14,La Sabana,102
LA TOSCANA E-11,La Toscana,71
LA VICTORIA E-11,La Victoria,50
LA VICTORIA E-4,La Victoria,50
LAGOS DE SUBA E-11,Rincón de Suba Sector Lagos de la Frontera,28
LAS AGUAS E-3,Las Aguas,92
LAS BRISAS E-4,Las Brisas,76
LAS BRISAS E-8,Las Brisas,76
LAS COLINAS E-18,Las Colinas,53
LAS CRUCES E-3,Las Cruces,95
LAS FERIAS E-10,Las Ferias,26
LAS GAVIOTAS URB. E-4,Urb. Las Gaviotas,51
LAS HUERTAS E-19,Las Huertas,69
LAS MALVINAS E-4,Malvinas,50
LAS MARGARITAS E-7,Las Margaritas,83
LAS NIEVES E-3,Las Nieves,93
LAS PALMITAS E-8,Las Palmitas,82
LAS VEGAS E-8,Las Vegas,82
LAURELES E-4,Laureles II,74
LAURELES LA ESTACIÓN E-7,La Estación,85
LIBERTADORES E-4,Los Libertadores,51
LISBOA E-11,Lisboa,71
LLANO GRANDE E-8,Llano Grande,80
LOS ANGELES E-10,Recreo de Los Angeles 1 y 2,87
LOS CEDRITOS E-1,Cedritos,13
LOS CEREZOS E-10,Los Cerezos,29
LOS CHIRCALES E-18,Chircales,77
LOS COMUNEROS E-5,Comuneros,58
LOS DUQUES E-19,Los Duques,68
LOS LACHES E-3,Los Laches,96
LOS LAURELES E-7,Los Laureles,74
LOS LIBERTADORES E-4,Los Libertadores,51
LOS MOLINOS DEL SUR E-18,S.C Molinos del Sur,54
LOS MOLINOS II SECTOR E-18,Los Molinos II Sector,55
LOS NARANJOS E-11,Los Naranjos,10
LOS OLIVARES E-5,Olivares,57
LOS PIJAOS E-18,Los Pijaos,36
LOS PINOS E-4,Los Pinos,51
LOS PINOS E-5,Los Pinos,51
LOS PUENTES E-18,Los Puentes,50
LOS TRES REYES - I ETAPA E-19,Los Tres Reyes 1a. Etapa,69
LOURDES E-2,Lourdes,96
LOURDES E-3,Lourdes,96
LUIS CARLOS GALAN E-10,San Carlos,62
LUIS LÓPEZ DE MEZA E-18,Luís López De Mesa,53
MANDALAY I ETAPA E-8,Mandalay,44
MANZANARES E-5,Manzanares,85
MANZANARES E-7,Manzanares,85
MARANDU E-10,Marandu,74
MARANDU E-19,Marandu,74
MARCO FIDEL SUAREZ E-18,Marco Fidel Suárez,54
MARIA PAZ E-8,Maria Paz,80
MARISCAL SUCRE E-5,Mariscal Sucre,90
MARÍA CANO E-19,Maria Cano,69
MERCED SUR SAN IGNACIO E-18,San,14
MILENTA E-16,Milenta,43
MIRADOR DEL NORTE E-1,Mirador del Norte,9
MODELIA E-9,Modelia,114
MODELO E-12,Popular Modelo,22
MOLINOS DEL SUR E-18,S.C Molinos del Sur,54
MONTECARLO PLAZA E-1,Montecarlo,32
MONTEVIDEO E-9,Montevideo,58
MORALBA E-4,S.C. Moralba,50
MURILLO TORO E-18,S.C. Murillo Toro,39
MUZU E-16,Muzu,42
NICOLAS DE FEDERMAN E-13,Nicolás de Federman,106
NORMANDIA E-10,Normandia,31
NUEVA COLOMBIA E-19,Colombia,98
NUEVA DELLY E-4,Nueva Delly,51
NUEVA ESPAÑA E-4,Nueva España,32
NUEVA ESPERANZA E-18,Esperanza,55
NUEVA GLORIA E-4,La Nueva Gloria,51
NUEVA GRANADA E-7,Nueva Granada,85
NUEVA YORK E-8,Nueva York,45
NUEVO CORINTO E-11,Nuevo Corinto,28
NUEVO KENNEDY E-8,Nuevo Kennedy,47
NUEVO MUZO II SECTOR I ETAPA E-6,Nuevo Muzu II Sector 1 A Etapa,42
NUEVO PORVENIR E-5,Nuevo Porvenir,59
NUEVO TIMIZA E-8,Timiza,48
OLARTE E-7,Olarte,49
OLAYA E-18,S.C. Olaya,39
ONASIS E-8,Onasis,47
PALESTINA E-7,Palestina,75
PALMA ALDEA E-11,Palma Aldea,28
PALOQUEMAO E-14,Paloquemao,102
PARQUE LA JOYA E-19,S.C. El Tesoro,68
PASTRANITA I  E-8,Pastranita I Sector,81
PATIO BONITO I E-8,Patio Bonito,82
PERDOMO E-19,Ismael Perdomo,69
PERPETUO SOCORRO E-8,Perpetuo Socorro,48
PIAMONTE E-7,Piamonte I Etapa,85
PINAR DEL RIO  E-8,Pinar del Río,80
PINARES E-4,S.C. El Pinar,51
PIO XII E-8,Pió XII,46
POLICARPA SALAVARRIETA E-15,Policarpa Salavarrieta,35
POLO CLUB E-12,Polo Club,98
PORTAL II ETAPA E-5,El Portal II Etapa,59
PORVENIR LA CONCEPCIÓN E-7,La Concepción,84
POTRERITO E-7,Potreritos,68
PRADO PINZON E-11,Prado Pinzon,19
PRIMAVERA NUEVA E-16,La Primavera,69
PRIMERO DE MAYO E-4,Primero de Mayo,33
PROGRESO II SECTOR LA REFORMA E-5,La Reforma,59
PROTECHO BOGOTA II ETAPA I E-19,Protecho Bogota II,65
PROVIDENCIA E-7,Providencia,85
PRÍNCIPE DE BOCHICA E-18,Príncipe de Bochica,54
PUERTA AL LLANO E-5,Puerta al Llano,59
PUERTA DE TEJA E-9,Puerta de Teja,115
QUIBA E-19,S.C Quiba,68
QUINDIO E-4,Quindío,50
QUINTA MUTIS E-12,Quinta Mutis,98
QUINTAS DEL PLAN SOCIAL E-5,Quintas de Plan Social,58
QUIROGA IHS ETAPA E-18,Quiroga IX Etapa,39
QUIROGA VII ETAPA E-18,Quiroga IX Etapa,39
RECUERDO E-7,El Recuerdo,86
REPUBLICA DE CANADA E-4,Republica de Canadá,68
RESTREPO E-15,Restrepo,38
RESURRECCIÓN E-18,Resurrección,53
RICAURTE E-14,Ricaurte,102
RINCON DEL VALLE E-18,Villas del Rincón,28
RINCÓN DE BRITALIA E-11,Rincón de Britalia,23
RINCÓN DE GALICIA E-19,Rincón de Galicia,69
RINCÓN DE SUBA E-11,Rincón de Suba,28
RUBI E-11,El Rubí,75
RUBIO SANTANDER E-15,Santander,75
SABANA GRANDE E-9,Sabana Grande,77
SABANAS DEL DORADO E-10,Sabanas del Dorado I,74
SALITRE E-11,Salitre,26
SAMPER MENDOZA E-14,Samper,91
SAN ANDRES   E-8,San Andrés,45
SAN ANDRÉS ALTO E-5,San Andrés Alto,57
SAN ANTONIO DE ESCOCIA E-7,San Antonio,84
SAN ANTONIO E-1,San Antonio,84
SAN ANTONIO E-7,San Antonio,84
SAN BENITO E-6,San Benito,62
SAN BERNARDINO E-7,San Bernardino,84
SAN BERNARDO E-3,San Bernardo,16
SAN BLAS E-4,San Blass,32
SAN CARLOS E-8,San Carlos,62
SAN CARLOS TIBABUYES E-11,San Carlos de Tibabuyes,71
SAN CRISTOBAL E-4,San Cristóbal,23
SAN CRISTÓBAL ALTO E-4,San Cristóbal Alto,32
SAN CRISTÓBAL E-1,San Cristóbal,23
SAN CRISTÓBAL NORTE E-1,San Cristóbal Norte,11
SAN DIEGO E-3,San Diego,91
SAN EUGENIO E-7,San Eugenio,85
SAN FELIPE E-12,San Felipe,57
SAN FELIPE E-5,San Felipe,57
SAN FERNANDO E-12,San Fernando,66
SAN ISIDRO E-2,San Isidro,89
SAN ISIDRO E-7,San Isidro,89
SAN ISIDRO SUR E-5,San Isidro Sur,57
SAN JAVIER E-7,San Javier,84
SAN JOAQUÍN DEL VATICANO E-19,"San Joaquín el Vaticano	",68
SAN JORGE E-18,"San Jorge	",84
SAN JOSE DE BAVARIA E-11,San José De Bavaria,17
SAN JOSE ORIENTAL E-4,San José Oriental,50
SAN JOSÉ II SECTOR A E-7,San José A,85
SAN JUAN BAUTISTA E-5,San Juan Bautista,57
SAN LUIS E-7,San Luís,100
SAN MARTIN DE LOBA E-4,San Martín de Loba,50
SAN MARTÍN DE PORRES E-2,San Martín de Porres,90
SAN MIGUEL E-4,San Miguel,86
SAN PEDRO E-11,San Pedro,84
SAN PEDRO E-4,San Pedro,84
SAN PEDRO E-9,San Pedro,84
SAN RAFAEL DEL ALTO DE LA ESTANCIA E-19,La Estancia,69
SAN RAFAEL E-4,San Rafael,43
SAN RAFAEL SUR E-19,San Rafael Sur,68
SAN VICENTE E-4,San Vicente,32
SAN VICENTE FERRER E-6,San Vicente Ferrer,42
SAN VICTORINO E-3,San Victorino,102
SANTA ANITA E-4,Santa Anita,33
SANTA CATALINA E-8,Santa Catalina,48
SANTA CECILIA E-1,Santa Cecilia,114
SANTA CECILIA I E-11,Santa Cecilia,114
SANTA FE E-14,Santa Fe,102
SANTA FE E-7,Santa Fe,102
SANTA HELENITA E-10,S.C. Santa Helenita,30
SANTA ISABEL DEL RESTREPO E-15,Restrepo,38
SANTA LIBRADA E-10,Santa Librada,57
SANTA LIBRADA E-5,Santa Librada,57
SANTA LIBRADA SECTOR LA SUREÑA E-5,La Sureña,89
SANTA LUCIA E-18,Santa Lucia,85
SANTA MARIA DEL LAGO E-10,Santa Maria,81
SANTA MATILDE I SECTOR E-16,Santa Matilde,40
SANTA MONICA E-8,Alameda de Santa Monica Etapa 5,87
SANTA RITA E-11,Santa Rita,71
SANTA RITA E-4,Santa Rita,71
SANTA ROSITA E-10,Santa Rosita,30
SANTA VIVIANA E-19,Santa Viviana,69
SANTANDER E-9,Santander,75
SANTIAGO DE LAS ATALAYAS E-7,Santiago de las Atalayas,86
SANTO DOMINGO E-19,Santo Domingo,90
SIERRA MORENA E-19,Sierra Morena,69
SOCIEGO SUR E-18,S.C. Sosiego Sur,36
SOCORRO III SECTOR E-18,Socorro III Sector,54
SUMAPAZ E-20,Sumapaz,82
SUMAPAZ E-8,Sumapaz,82
TAIRONA  E-8,Tayrona,82
TENERIFE E-5,Tenerife,58
TIBABUYES E-11,Tibabuyes II,28
TIGUAQUE E-4,S.C. Tihuaque,52
TINTAL    E-8,El Tintal,78
TINTALITO E-8,Tintalito,82
TOCAIMITA ORIENTAL E-5,Tocaimita Oriental,61
TORCA GÓNGORA E-1,Torca,1
TORRES BLANCAS E-3,Las Torres,45
TUNALITO E-6,Tunalito,62
TUNJUELITO E-6,Tunjuelito,62
UNIDAD COMERCIAL OVIEDO E-8,Oviedo,75
URB. BETANIA E-7,Betania,84
URB. BOSQUES DE LA CANDELARIA E-19,Candelaria la Nueva,66
URB. CARABELAS E-16,Las Carabelas,40
URB. CASA REY E-5,Casa Rey,57
URB. CASTILLA E-8,Castilla,46
URB. CLARET EL CARMEN E-6,El Carmen,28
URB. COLON E-16,Colon,43
URB. COSTA AZUL I Y II ETAPA E-11,Costa Azul I Etapa,28
URB. EL BATAN E-11,El Batan,20
URB. EL LAGUITO E-11,Urb. El Laguito,28
URB. EL VIRREY E-5,El Virrey,58
URB. GRANJAS DE SAN PABLO E-18,Granjas de San Pablo,53
URB. HOSPITAL SANTA CLARA E-15,Santa Clara,107
URB. HUMBERTO VALENCIA E-7,Humberto Valencia,85
URB. INDUSTRIAL PENSILVANIA E-16,Pensilvania,108
URB. LA ALQUERÍA E-16,La Alquería,41
URB. LA ASUNCIÓN E-16,La Asunción,40
URB. LA CORUÑA E-19,La Coruña,65
URB. LA PALMA E-11,La Palma,84
URB. LA SABANA DE TIBABUYES E-11,La Sabana,102
URB. LA UNIDAD E-8,La Unidad,48
URB. LAGUNETA E-6,Laguneta,42
URB. LOS COMUNEROS E-16,Comuneros,58
URB. LOS EJIDOS E-16,Los Ejidos,108
URB. LUCERNA E-8,Lucerna,45
URB. MADELENA I Y II SECTOR E-19,Madelena,65
URB. MADRID E-18,Urb. Madrid,54
URB. MANUELA BELTRÁN E-19,Manuela Beltrán,90
URB. MARRUECOS E-18,Marruecos,54
URB. MIRAVALLE E-5,Miravalle,57
URB. NUEVA ZELANDIA E-11,Nueva Zelanda,17
URB. PUENTE ARANDA E-16,Puente Aranda,111
URB. SANTA RITA I SECTOR E-16,Santa Rita,71
URB. TIMIZA E-8,Timiza,48
URB. URBANA QUIROGA E-18,S.C. Quiroga,39
URB. VILLA DEL RÍO E-19,Villa del Río,49
VALENCIA LA CHUCUA E-8,La Chucua,45
VEINTE DE JULIO E-4,S.C. 20 De Julio,34
VENECIA E-6,Venecia,42
VERAGUAS CENTRAL IV SECTOR E-16,Veraguas,37
VERBENAL E-1,S.C. El Verbenal,9
VEREDA LA REQUILINA E-5,S.C. La Requilina,61
VILLA ALEMANA II SECTOR E-5,Villa Alemania II Sector,58
VILLA ALEMANIA E-5,Villa Alemania,58
VILLA ALSACIA E-8,Alsacia,113
VILLA AMALIA E-10,Villa Amalia,73
VILLA ANITA SUR E-5,Villa Anita,81
VILLA CAROLINA E-18,Villa Carolina,54
VILLA CLAUDIA E-8,Villa Claudia,44
VILLA CLAVER E-10,Villa Claver I y II,74
VILLA DE LA LOMA E-8,Villa de la Loma,80
VILLA DEL CERRO E-4,Villa del Cerro,90
VILLA DEL MAR E-10,Villa Del Mar - Urb. Tierragrata,73
VILLA DEL PRADO E-11,Villa del Prado,17
VILLA DIANA E-4,Villa Diana,52
VILLA ELISA E-11,Villa Elisa,28
VILLA HELENA E-9,Villa Helena,66
VILLA MARIA I E-11,Villa Maria,28
VILLA MAYOR E-18,Villa Mayor,39
VILLA NATALY - 20 DE JULIO E-4,Villa Nataly 20 de Julio,34
VILLA NELLY E-8,Villa Nelly,57
VILLA NHORA II E-7,Villa Nhora,85
VILLA NOHORA E-7,Villa Nhora,85
VILLA NYDIA E-1,El Cerro Parte Baja (Villa Nydia),11
VILLA ROSITA E-4,Villa Rosita,52
VILLA SAGRARIO E-10,Villa Sagrario,73
VILLA SONIA E-7,Villa Sonia,41
VILLA XIMENA E-6,Villa Ximena,42
VILLAS DE BOLÍVAR E-19,Villas de Bolívar,70
VILLAS DE GRANADA E-10,Villas de Granada,73
VILLAS DE VALERO E-7,Villas del Velero,84
VILLEMAR CENTRAL E-9,Villemar,75
VISION DE COLOMBIA E-8,Colombia,98
VISTA HERMOSA E-19,Vista Hermosa,24
VITELMA E-4,Vitelma,32
VOTO NACIONAL E-14,Voto Nacional,102
